,2010,2011,2012,2013,2014
그레이 월드와이드 코리아,86983,108937,89540,81816,68330
그레이프커뮤니케이션즈,91395,80370,67034,65580,45072
금강오길비,88980,102115,60753,96800,57086
김앤에이엘,27132,45236,38256,27064,
농심기획,78235,86658,76133,67361,72648
대홍기획,494952,539047,586117,698483,744427
더블유브랜드커넥션,0,0,5800,,
덴츠미디어코리아(매체대행),74302,171132,170145,115170,101448
덴츠코리아,98505,98271,99261,77538,71587
디디비 코리아,62601,77745,79156,75169,78241
레오버넷,95242,112242,142116,136894,149066
맥켄에릭슨&유니버설맥켄코리아,128058,130138,125365,130342,146107
메이트커뮤니케이션즈,80384,92395,75240,58377,70639
베컴주식회사,0,18067,9964,0,0
비비디오 코리아,113545,118240,118480,103368,109211
비알캠페인,0,6348,7134,0,0
비앤비커뮤니케이션즈,2919,4080,2784,0,0
상암커뮤니케이션즈,93718,98658,97018,79633,68778
샴페인,8137,8926,9208,11196,12942
서울광고,43677,48256,44926,32480,23739
선연넥스트,0,15034,27183,0,0
씨앤마케팅서비스,0,0,12634,16011,0
씨엔에이플러스,1936,1936,2166,,0
아이에스엠지 코리아,51746,48800,69820,,0
아임애드,1860,2262,1030,,0
애드라인,35200,32766,42021,31604,21454
애드리치,0,0,51107,53640,50159
애드씨케이,0,0,40000,0,23275
애드앤피알스미스,2178,1900,2660,0,0
에스케이플래닛엠앤씨부문 (에스케이마케팅앤컴퍼니),380818,427379,456275,378764,398003
에이치에스애드 ,557968,615153,717114,936669,1063931
엘베스트 ,183687,266475,277402,150545,0
엠허브(매체대행),74620,106804,107521,0,111160
오리콤 ,157582,157621,186444,169541,154249
우일기획 ,120,1452,1200,0,0
웰콤 ,183025,157960,125743,102745,106255
유니기획,29163,35773,26620,25241,22166
이노션월드와이드,2698585,3489140,3891415,3719111,3598808
제이더블유티애드벤처 ,121481,149735,154107,90335,92231
제일기획,2919859,4153201,5118249,5198166,4923104
캐러트코리아(매체대행),69936,72397,101530,116180,105251
코마코 ,73100,71700,73750,75800,75700
크리에이티브에어 ,28571,31624,23782,41823,
티비더블유에이코리아,276756,309937,288248,344255,296783
포레카,12644,63971,96245,80197,
피플웍스 커뮤니케이션 ,94962,80572,84156,71532,
하바스월드와이드코리아(舊:유로넥스트) ,3875,35554,36807,40720,
하쿠호도제일 ,83152,89283,92673,87061,81931
한컴,170425,191815,216136,158163,150080
휘닉스커뮤니케이션즈(휘닉스홀딩스),85753,64450,48902,32883,17438
